Sezione,Prodotto,Settore,Descrizione,Ore,Note,Prezzo_cu
BRAND IDENTITY,Naming,,"Studio e realizzazione namig, logo, payoff, storytelling",,,2000.0
BRAND IDENTITY,Shopper,Offline,Studio e realizzazione grafica,da 2 a 3 ore,,150.0
BRAND IDENTITY,Folder,Offline,Studio e realizzazione grafica,da 2 a 3 ore,,200.0
PRINT/PRESS,ADV Riviste,Offline,"Studio e realizzazione grafica, copy, concept, def di stampa",da 2 a 3 ore,costo singola pagina,500.0
PRINT/PRESS,Book (Emozionale/interior etc),Offline,"Studio e realizzazione grafica, copy, concept, def di stampa",,100€ a pagina,2000.0
PRINT/PRESS,Brochure Light,Offline,"Studio e realizzazione grafica, copy, concept, def di stampa",,150€ a facciata,900.0
PRINT/PRESS,Capitolato Light Vers 1,Offline,Solo realizzazione grafica da contenuti e immagini già forniti,da 4 a 8 ore,,800.0
PRINT/PRESS,Capitolato Light Vers 2,Offline,"Realizzazione grafica, ricerca delle immagini e scelta dei contenuti",da 4 a 8 ore,,2000.0
PRINT/PRESS,Cartello Orari Store,Offline,Istituzionale (A3),1 ora,,50.0
PRINT/PRESS,Cartellonistica cantiere,Offline,"Studio e realizzazione grafica, copy, concept, def di stampa",da 3 a 5 ore,costo per cartello,500.0
PRINT/PRESS,Coupon (F/R),Offline,"Studio e realizzazione grafica, scelta immagini e copy -  formato F/R",da 2 a 3 ore,150€ a facciata,300.0
PRINT/PRESS,Flyer,Offline,"Studio e realizzazione grafica, copy, concept, def di stampa",da 3 a 8 ore,150€ a facciata,800.0
PRINT/PRESS,OOH (Gonfaloni/Totem/cartelli etc..),Offline,"Studio e realizzazione grafica, copy, concept, def di stampa",da 2 a 8 ore,costo singolo prodotto,500.0
STORE,Progetto del concept,Offline,Studio del concept marketing generale/D.L. marketing,,25€/mq,2000.0
STORE,Pannelli interni,Offline,"Studio e realizzazione grafica, scelta immagini e copy -  qualsiasi formato",da 2 a 8 ore,cad.,500.0
STORE,Prespaziati,Offline,"Studio e realizzazione grafica, scelta immagini e copy -  qualsiasi formato",da 2 a 8 ore,cad.,150.0
STORE,Vetrofanie,Offline,"Studio e realizzazione grafica, scelta immagini e copy -  qualsiasi formato",da 2 a 8 ore,cad.,150.0
STORE,Insegne,Offline,"Studio e realizzazione grafica, scelta immagini e copy -  qualsiasi formato",da 2 a 8 ore,cad.,300.0
STORE,Dresswall (grafica),Offline,"Studio e realizzazione grafica, scelta immagini e copy -  qualsiasi formato",da 2 a 8 ore,cad.,250.0
ISTITUZIONALE,Newsletter,Online,Istituzionale,da 4 a 8 ore,,150.0
WEB/SOCIAL,Waiting Page,Online,"Studio e realizzazione, copy, immagini, storytelling ( con immagine statica)",da 16 a 32 ore,,600.0
WEB/SOCIAL,Landing Page,Online,"Studio e realizzazione, copy, immagini, storytelling",,,1200.0
WEB/SOCIAL,Sito onepage,Online,"Studio e realizzazione, copy, immagini, storytelling",,,1500.0
WEB/SOCIAL,Sito multipagina,Online,"Studio e realizzazione, copy, immagini, storytelling",,,3000.0
WEB/SOCIAL,Popup,Online,Realizzazione grafica,1 ora,,150.0
WEB/SOCIAL,Banner ADV Portali,Online,"Studio e realizzazione grafica, copy, concept",da 2 a 3 ore,costo singolo banner,300.0
WEB/SOCIAL,DEM,Online,"Studio e realizzazione grafica, scelta delle immagini e copy",da 2 a 3 ore,,600.0
WEB/SOCIAL,Digital tool,Online,Realizzazione e vari aggiornamenti,da 8 a 16 ore,,2000.0
WEB/SOCIAL,Grafica Social,Online,Copy + immagini,,per social,500.0
WEB/SOCIAL,Video Emozionale,Online,Realizzazione slideshow dinamico,da 8 a 16 ore,,2000.0
WEB/SOCIAL,attivazione GTM,Online,,,,100.0
PORTALI,Pubblicazione scheda  Sito AbitareCo,Online,Sezione cantiere su sito AbitareCo,al mese,,200.0
PORTALI,Testo annunci portali,Online,Composizione testo annuncio per portali,da 4 a 8 ore,,200.0
ALTRO,Post produzione foto,Online,Refresh e ritocco di design,da 2 a 4 ore,cad.,50.0
ALTRO,Book planimetrie,offline,Realizzazione e aggiornamenti vari delle planimetrie,,90€/cad,90.0
ALTRO,Comunicati Stampa,,,,,
ALTRO,Redazione testi,Online,creazione testo del comunicato,,"€0,16 a battuta (300 a pag)",300.0
